year,anomaly,station_name,station_number,latitude,longitude
1910,-0.374464813,Adelaide,23000,-34.93,138.58
1911,-0.386582504,Adelaide,23000,-34.93,138.58
1912,-0.216150499,Adelaide,23000,-34.93,138.58
1913,-0.40655324,Adelaide,23000,-34.93,138.58
1914,0.836518152,Adelaide,23000,-34.93,138.58
1915,-0.247022213,Adelaide,23000,-34.93,138.58
1916,-0.730346519,Adelaide,23000,-34.93,138.58
1917,-1.03745136,Adelaide,23000,-34.93,138.58
1918,-0.095050638,Adelaide,23000,-34.93,138.58
1919,0.259310033,Adelaide,23000,-34.93,138.58
1920,-0.522327347,Adelaide,23000,-34.93,138.58
1921,0.532784815,Adelaide,23000,-34.93,138.58
1922,-0.601238162,Adelaide,23000,-34.93,138.58
1923,-0.205193936,Adelaide,23000,-34.93,138.58
1924,-1.293183887,Adelaide,23000,-34.93,138.58
1925,-0.625865979,Adelaide,23000,-34.93,138.58
1926,-0.546423454,Adelaide,23000,-34.93,138.58
1927,-0.659334592,Adelaide,23000,-34.93,138.58
1928,-0.3803751,Adelaide,23000,-34.93,138.58
1929,-1.163568872,Adelaide,23000,-34.93,138.58
1930,0.357506397,Adelaide,23000,-34.93,138.58
1931,-1.052807863,Adelaide,23000,-34.93,138.58
1932,-0.812428153,Adelaide,23000,-34.93,138.58
1933,-1.022849146,Adelaide,23000,-34.93,138.58
1934,0.205582533,Adelaide,23000,-34.93,138.58
1935,-0.617992835,Adelaide,23000,-34.93,138.58
1936,-0.667357241,Adelaide,23000,-34.93,138.58
1937,-0.322095817,Adelaide,23000,-34.93,138.58
1938,-0.262066949,Adelaide,23000,-34.93,138.58
1939,-0.095400669,Adelaide,23000,-34.93,138.58
1940,-0.450813396,Adelaide,23000,-34.93,138.58
1941,-0.407753459,Adelaide,23000,-34.93,138.58
1942,-0.043394836,Adelaide,23000,-34.93,138.58
1943,-1.086416094,Adelaide,23000,-34.93,138.58
1944,-0.581840231,Adelaide,23000,-34.93,138.58
1945,-0.796213278,Adelaide,23000,-34.93,138.58
1946,-1.239163019,Adelaide,23000,-34.93,138.58
1947,-0.263332266,Adelaide,23000,-34.93,138.58
1948,-1.014150592,Adelaide,23000,-34.93,138.58
